city,building_name,capacity,price,room_name,features,location
brisbane,Glen Rd,2,235,Twin Share,"['Openable windows providing light with retractable blinds', 'Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Glen Rd,2,274,Twin Share Plus,"['Openable windows providing light with retractable blinds', 'Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Glen Rd,2,269,Twin Share Premier,"['All inclusive rent including utilities and unlimited internet', 'Personal study desk with chair and desk lamp', 'Swipe card access with individual locking rooms', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Glen Rd,2,229,Twin Bunk,"['All inclusive rent including utilities and unlimited internet', 'Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Glen Rd,6,269,6 Bedroom Apartment,"['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector', 'Separate kitchen and dining with 4-burner electric glass cooktop, built-in range hood, convection microwave, dishwasher, 500L fridge with freezer, pantry, overhead storage.', 'Every part of the interiors have been designed with high-quality materials, appliances and features such as air conditioning, high-speed internet and 50” LCD TV to encourage a life of comfort.', 'With large windows and high ceilings, your room at Atira Student Living is full of natural light, with views of your new local neighbourhood.']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Glen Rd,4,325,4 Bedroom Apartment,"['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector', 'Separate kitchen with 4-burner electric glass cooktop, stainless steel oven, dishwasher, built-in range hood, convection microwave, 500L fridge with freezer, overhead storage and pantry.', 'Every part of the interiors have been designed with high quality materials, appliances and features such as air conditioning, high-speed internet and 50” LCD TV to encourage a life of comfort.', 'With large windows and high ceilings, your room at Atira Student Living is full of natural light, with views of your new local neighbourhood.']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Glen Rd,4,325,4 Bedroom Apartment Plus,"['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector', 'Separate kitchen with 4-burner electric glass cooktop, stainless steel oven, dishwasher, built-in range hood, convection microwave, 500L fridge with freezer, overhead storage and pantry.', 'Every part of the interiors have been designed with high quality materials, appliances and features such as air conditioning, high-speed internet and 50” LCD TV to encourage a life of comfort.', 'With large windows and high ceilings, your room at Atira Student Living is full of natural light, with views of your new local neighbourhood.']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Glen Rd,1,375,Studio Apartment,"['Swipe card access with individual locking rooms', 'Air conditioning with temperature control panel', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'Double bed with mattress protector']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Glen Rd,1,379,Studio Plus,"['Swipe card access with individual locking rooms', 'Air conditioning with temperature control panel', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'Double bed with mattress protector']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Glen Rd,1,389,Studio Premier,"['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'Double bed with mattress protector']","33 Glen Rd Toowong QLD 4066,  Australia"
brisbane,Merivale St,2,185,Twin Mix,"['All inclusive rent including utilities and unlimited internet', 'Personal study desk with chair and desk lamp', 'Swipe card access with individual locking rooms', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']","118 Merivale St South Brisbane QLD 4101,  Australia"
brisbane,Merivale St,2,240,Twin Loft Studio,"['Swipe card access with individual locking rooms', 'All inclusive rent including utilities and unlimited internet', 'Personal study desk with chair and desk lamp', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']","118 Merivale St South Brisbane QLD 4101,  Australia"
brisbane,Merivale St,2,240,Twin Share Studio,"['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']","118 Merivale St South Brisbane QLD 4101,  Australia"
